Date,TNX
9/15/2014,2.591
9/16/2014,2.589
9/17/2014,2.6
9/18/2014,2.629
9/19/2014,2.587
9/22/2014,2.566
9/23/2014,2.535
9/24/2014,2.569
9/25/2014,2.511
9/26/2014,2.535
9/29/2014,2.491
9/30/2014,2.508
10/1/2014,2.403
10/2/2014,2.438
10/3/2014,2.447
10/6/2014,2.425
10/7/2014,2.35
10/8/2014,2.33
10/9/2014,2.327
10/10/2014,2.307
10/13/2014,2.286
10/14/2014,2.206
10/15/2014,2.09
10/16/2014,2.153
10/17/2014,2.199
10/20/2014,2.181
10/21/2014,2.208
10/22/2014,2.229
10/23/2014,2.275
10/24/2014,2.273
10/27/2014,2.257
10/28/2014,2.284
10/29/2014,2.323
10/30/2014,2.305
10/31/2014,2.335
11/3/2014,2.348
11/4/2014,2.342
11/5/2014,2.35
11/6/2014,2.375
11/7/2014,2.312
11/10/2014,2.359
11/11/2014,2.36
11/12/2014,2.359
11/13/2014,2.347
11/14/2014,2.32
11/17/2014,2.34
11/18/2014,2.322
11/19/2014,2.351
11/20/2014,2.335
11/21/2014,2.315
11/24/2014,2.31
11/25/2014,2.26
11/26/2014,2.234
11/28/2014,2.194
12/1/2014,2.218
12/2/2014,2.285
12/3/2014,2.287
12/4/2014,2.257
12/5/2014,2.307
12/8/2014,2.257
12/9/2014,2.22
12/10/2014,2.169
12/11/2014,2.178
12/12/2014,2.103
12/15/2014,2.116
12/16/2014,2.071
12/17/2014,2.148
12/18/2014,2.204
12/19/2014,2.176
12/22/2014,2.162
12/23/2014,2.257
12/24/2014,2.264
12/26/2014,2.25
12/29/2014,2.207
12/30/2014,2.19
12/31/2014,2.17
1/2/2015,2.123
1/5/2015,2.039
1/6/2015,1.963
1/7/2015,1.954
1/8/2015,2.016
1/9/2015,1.971
1/12/2015,1.912
1/13/2015,1.89
1/14/2015,1.837
1/15/2015,1.775
1/16/2015,1.815
1/20/2015,1.807
1/21/2015,1.853
1/22/2015,1.896
1/23/2015,1.817
1/26/2015,1.828
1/27/2015,1.825
1/28/2015,1.724
1/29/2015,1.751
1/30/2015,1.675
2/2/2015,1.673
2/3/2015,1.78
2/4/2015,1.797
2/5/2015,1.815
2/6/2015,1.938
2/9/2015,1.948
2/10/2015,1.991
2/11/2015,1.988
2/12/2015,1.986
2/13/2015,2.021
2/17/2015,2.145
2/18/2015,2.066
2/19/2015,2.113
2/20/2015,2.133
2/23/2015,2.059
2/24/2015,1.988
2/25/2015,1.969
2/26/2015,2.016
2/27/2015,2.002
3/2/2015,2.084
3/3/2015,2.122
3/4/2015,2.123
3/5/2015,2.112
3/6/2015,2.24
3/9/2015,2.195
3/10/2015,2.126
3/11/2015,2.109
