Date,Bullish,Neutral,Bearish,Bull-Bear Spread,S&P 500 Weekly High,S&P 500 Weekly Low,S&P 500 Weekly Close
8/17/2017,0.341743,0.330275,0.327982,0.013761,2474.93,2437.75,2468.11
8/10/2017,0.336667,0.34,0.323333,0.013334,2490.87,2462.08,2474.02
8/3/2017,0.361111,0.317901,0.320988,0.040123,2484.04,2470.3,2477.57
7/27/2017,0.344595,0.412162,0.243243,0.101352,2481.69,2463.85,2477.83
7/20/2017,0.354839,0.387097,0.258065,0.096774,2473.83,2435.75,2473.83
7/13/2017,0.282407,0.421296,0.296296,-0.013889,2445.76,2407.7,2443.25
7/6/2017,0.295775,0.405634,0.298592,-0.002817,2442.97,2405.7,2432.54
6/29/2017,0.297143,0.434286,0.268571,0.028572,2450.42,2419.38,2440.69
6/22/2017,0.326531,0.384354,0.289116,0.037415,2453.82,2418.53,2435.61
6/15/2017,0.322709,0.38247,0.294821,0.027888,2446.2,2415.7,2437.92
6/8/2017,0.354331,0.350394,0.295276,0.059055,2440.23,2403.59,2433.14
6/1/2017,0.269231,0.415385,0.315385,-0.046154,2418.71,2393.88,2411.8
5/25/2017,0.328571,0.371429,0.3,0.028571,2405.58,2352.72,2404.39
5/18/2017,0.238532,0.41896,0.342508,-0.103976,2405.77,2356.21,2357.03
5/11/2017,0.327338,0.370504,0.302158,0.02518,2403.87,2379.75,2399.63
5/4/2017,0.380711,0.319797,0.299492,0.081219,2398.16,2379.75,2388.13
4/27/2017,0.380488,0.302439,0.317073,0.063415,2398.16,2335.05,2387.45
4/20/2017,0.257062,0.355932,0.387006,-0.129944,2355.22,2328.95,2338.17
4/13/2017,0.28972,0.336449,0.373832,-0.084112,2378.36,2337.25,2344.93
4/6/2017,0.283019,0.320755,0.396226,-0.113207,2378.36,2344.73,2352.95
3/30/2017,0.302181,0.323988,0.373832,-0.071651,2363.78,2322.25,2361.13
3/23/2017,0.352785,0.342175,0.30504,0.047745,2390.01,2336.45,2348.45
3/16/2017,0.311688,0.301299,0.387013,-0.075325,2390.01,2354.54,2385.26
3/9/2017,0.3,0.235,0.465,-0.165,2400.98,2361.01,2362.98
3/2/2017,0.379085,0.264706,0.356209,0.022876,2400.98,2352.87,2395.96
2/23/2017,0.384615,0.292308,0.323077,0.061538,2366.71,2322.17,2362.82
2/16/2017,0.330909,0.345455,0.323636,0.007273,2351.31,2296.61,2347.22
2/9/2017,0.358025,0.365432,0.276543,0.081482,2299.4,2271.65,2294.67
2/2/2017,0.327982,0.330275,0.341743,-0.013761,2300.99,2267.21,2279.55
1/26/2017,0.315789,0.349282,0.334928,-0.019139,2299.55,2257.02,2298.37
1/19/2017,0.370079,0.30315,0.326772,0.043307,2279.27,2254.25,2271.89
1/12/2017,0.436364,0.293939,0.269697,0.166667,2282.1,2260.45,2275.32
1/5/2017,0.462006,0.285714,0.25228,0.209726,2273.82,2233.62,2270.75
12/29/2016,0.455696,0.28692,0.257384,0.198312,2273.82,2249.11,2249.92
12/22/2016,0.446064,0.262391,0.291545,0.154519,2272.56,2253.77,2258.66
12/15/2016,0.446575,0.230137,0.323288,0.123287,2277.53,2208.93,2253.28
12/8/2016,0.431211,0.303901,0.264887,0.166324,2241.63,2187.44,2241.35
12/1/2016,0.437751,0.311245,0.251004,0.186747,2214.1,2194.51,2198.81
11/24/2016,0.498938,0.280255,0.220807,0.278131,2204.8,2172.2,2204.72
11/17/2016,0.466531,0.267748,0.26572,0.200811,2182.3,2100.59,2164.2
11/10/2016,0.388889,0.317778,0.293333,0.095556,2170.1,2083.79,2163.26
11/3/2016,0.236364,0.420455,0.343182,-0.106818,2147.13,2094,2097.94
10/27/2016,0.247549,0.411765,0.340686,-0.093137,2154.790039,2130.090088,2139.429932
10/20/2016,0.237395,0.384454,0.378151,-0.140756,2149.189941,2114.719971,2144.290039
10/13/2016,0.254717,0.408019,0.337264,-0.082547,2169.600098,2128.840088,2139.179932
